,actual level,level model,ar level model,differences model,ar differences model
1121,15.0,2.9236199083854046,-5.5018067433704445,0.0,0.0
8028,10.0,-35.47671149478737,-9.943024704128145,-8.652176625068819,1.0875069375555872
3803,9.0,-7.407405052890027,-11.21194412148749,8.964577798797873,0.7319917149947869
4595,8.0,-10.59477724860534,-10.577484412807816,2.66880831959394,7.8422961662107955
587,-200.0,-202.88556289037388,-140.64172469214049,-20.775297377102373,-3.178675733174018
1651,2.0,25.273037399420048,4.649548595504303,-3.617604156801961,0.7319917149947869
6040,-200.0,29.38841486903749,6.552927721543316,-4.969945772219582,1.7985373826771882
3480,19.0,48.115645619539265,0.2083306347466003,8.485810631846334,0.37647649243398645
390,1.0,-0.7488811406633147,-4.232887326011101,20.551438936751616,0.37647649243398645
3380,-200.0,-105.12895028546284,-140.64172469214049,-1.1707384150227602,5.709204830845993
9001,40.0,17.2317786952687,4.649548595504303,-10.444755297629882,-1.0455843978092152
6030,16.0,-9.943909647620345,-2.9639679086517585,-20.48433039168755,-1.4010996203700157
9197,15.0,12.225633703526086,-2.9639679086517585,6.671721018455577,-0.6900691752484148
5110,37.0,10.68940376529676,3.3806291781449573,0.8080045447015669,6.064720053406793
4320,29.0,-73.73847599132178,2.7461694694652863,1.2450410982445845,0.37647649243398645
9355,22.0,19.702338891253035,-0.42612907393307076,2.6059392788870497,-1.0455843978092152
5742,18.0,7.309222985128571,-3.5984276173314296,6.54032612027584,0.7319917149947869
5274,-200.0,-208.50671977809333,-140.64172469214049,-3.677829679949938,2.1540526052379887
1768,9.0,-5.657912229628735,-8.674105286768803,5.987469885587581,0.7319917149947869
6455,31.0,31.200634357654323,0.8427903434262713,1.3491512422350782,0.7319917149947869
8993,16.0,20.732328842690976,1.4772500521059442,-69.7803969963032,-70.72656801972609
2075,12.0,6.0154505257677044,-9.308564995448474,22.361665352951682,-2.467645288052417
7707,1.0,-18.58828812223298,-11.84640383016716,-0.3282982413038753,0.7319917149947869
6679,19.0,-5.21740753445556,-12.480863538846831,15.403486550421889,-1.4010996203700157
5364,-200.0,-201.05647242476425,-140.64172469214049,2.306144663711192,2.865083050359589
1051,32.0,28.340740161110944,-11.84640383016716,-5.2363015422879045,1.0875069375555872
5138,13.0,12.145200649032574,-3.5984276173314296,1.3629265923990326,2.1540526052379887
1691,9.0,-15.333379493320678,-11.84640383016716,8.191762690999171,0.37647649243398645
3269,17.0,9.363575833125722,-4.232887326011101,-1.1908255000434966,-3.534190955734818
4794,9.0,-14.80435884535325,-13.115323247526504,143.18039531027733,1.4430221601163877
2154,23.0,34.242577990494254,2.1117097607856152,-0.2530752067008186,1.7985373826771882
3515,-200.0,-195.20459525226568,-140.64172469214049,-5.1573758164564225,0.020961269873186028
